Actuated Double Pendulum 2020-06-19 11:32:41 Coord: Cartesian. Integration: Monolithic. Time-step = 5e-05
t, kappa, pos_1, pos_2, pos_3, pos_4, pos_5, pos_6, pos_7, vel_1, vel_2, vel_3, vel_4, vel_5, vel_6, vel_7, acc_1, acc_2, acc_3, acc_4, acc_5, acc_6, acc_7, p_1, p_2, pd_1, pd_2, lambda_1, lambda_2, lambda_3, lambda_4, lambda_5, F, violC
0.43,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5684382e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.44,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.568144e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.45,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5678497e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.46,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5675555e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.47,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5672612e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.48,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.566967e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.49,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5666727e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.5,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5663785e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.51,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5660842e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.52,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.56579e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
