Actuated Double Pendulum 2020-06-19 11:32:41 Coord: Cartesian. Integration: Monolithic. Time-step = 5e-05
t, kappa, pos_1, pos_2, pos_3, pos_4, pos_5, pos_6, pos_7, vel_1, vel_2, vel_3, vel_4, vel_5, vel_6, vel_7, acc_1, acc_2, acc_3, acc_4, acc_5, acc_6, acc_7, p_1, p_2, pd_1, pd_2, lambda_1, lambda_2, lambda_3, lambda_4, lambda_5, F, violC
0.14,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5769713e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.15,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.576677e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.16,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5763828e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.17,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5760885e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.18,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5757943e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.19,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5755e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.2,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5752058e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.21,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5749116e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.22,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5746173e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.23,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5743231e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.24,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5740288e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.25,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5737346e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.26,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5734403e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.27,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5731461e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.28,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5728519e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.29,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5725576e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.3,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5722634e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.31,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5719691e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.32,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5716749e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.33,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5713806e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.34,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5710864e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.35,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5707921e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.36,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5704979e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.37,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5702037e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.38,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5699094e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.39,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5696152e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.4,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5693209e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.41,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5690267e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.42,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5687324e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
