t,s,sd,p1,p2,f
4.61,0.49244,0.060961,2.6262e+06,5.0738e+06,9812.9
4.62,0.49306,0.064056,2.6206e+06,5.0794e+06,9576.1
4.63,0.49371,0.066133,2.6234e+06,5.0766e+06,9332.3
4.64,0.49438,0.067162,2.6345e+06,5.0655e+06,9085
4.65,0.49505,0.067126,2.6538e+06,5.0462e+06,8837.6
4.66,0.49572,0.066023,2.6811e+06,5.0189e+06,8593.5
4.67,0.49637,0.063864,2.716e+06,4.984e+06,8355.9
4.68,0.49699,0.060678,2.758e+06,4.942e+06,8128.1
4.69,0.49758,0.056507,2.8066e+06,4.8934e+06,7913.2
4.7,0.49812,0.051407,2.8611e+06,4.8388e+06,7714.3
4.71,0.49861,0.045452,2.9208e+06,4.7792e+06,7534.4
4.72,0.49903,0.038729,2.9847e+06,4.7153e+06,7376.1
4.73,0.49938,0.031337,3.0518e+06,4.6481e+06,7242.2
4.74,0.49965,0.023392,3.1212e+06,4.5788e+06,7134.9
4.75,0.49984,0.015017,3.1917e+06,4.5083e+06,7056.1
4.76,0.49995,0.0063469,3.2621e+06,4.4378e+06,7007.3
4.77,0.49997,-0.0024788,3.3314e+06,4.3686e+06,6989.6
4.78,0.4999,-0.011315,3.3983e+06,4.3017e+06,7003.4
4.79,0.49974,-0.020018,3.4618e+06,4.2382e+06,7048.7
4.8,0.4995,-0.028442,3.5207e+06,4.1793e+06,7124.9
4.81,0.49918,-0.03645,3.5742e+06,4.1258e+06,7230.9
4.82,0.49877,-0.04391,3.6212e+06,4.0788e+06,7365
4.83,0.4983,-0.050701,3.6611e+06,4.0389e+06,7525.4
4.84,0.49776,-0.056714,3.6932e+06,4.0068e+06,7709.4
4.85,0.49717,-0.061853,3.717e+06,3.983e+06,7914.4
4.86,0.49653,-0.066036,3.732e+06,3.968e+06,8137.3
4.87,0.49585,-0.069201,3.7381e+06,3.9619e+06,8374.7
4.88,0.49515,-0.071297,3.7351e+06,3.9649e+06,8623.3
4.89,0.49443,-0.072295,3.7231e+06,3.9769e+06,8879.3
4.9,0.49371,-0.07218,3.7023e+06,3.9978e+06,9138.8
4.91,0.49299,-0.070956,3.6729e+06,4.0271e+06,9397.9
4.92,0.49229,-0.068643,3.6356e+06,4.0645e+06,9652.4
4.93,0.49162,-0.06528,3.5908e+06,4.1093e+06,9898.2
4.94,0.49099,-0.060921,3.5394e+06,4.1607e+06,10131
4.95,0.49041,-0.055636,3.4821e+06,4.218e+06,10347
4.96,0.48988,-0.04951,3.42e+06,4.2802e+06,10542
4.97,0.48942,-0.042642,3.354e+06,4.3461e+06,10713
4.98,0.48903,-0.035144,3.2853e+06,4.4148e+06,10856
4.99,0.48872,-0.027136,3.2151e+06,4.4851e+06,10968
5,0.48849,-0.018748,3.1444e+06,4.5557e+06,11048
5.01,0.48834,-0.010116,3.0745e+06,4.6256e+06,11094
5.02,0.48829,-0.0013783,3.0065e+06,4.6937e+06,11105
5.03,0.48831,0.0073254,2.9414e+06,4.7588e+06,11081
5.04,0.48843,0.015858,2.8802e+06,4.82e+06,11023
5.05,0.48863,0.024085,2.8238e+06,4.8763e+06,10932
5.06,0.48891,0.03188,2.7732e+06,4.9269e+06,10812
5.07,0.48927,0.039125,2.7289e+06,4.9712e+06,10663
5.08,0.48969,0.045711,2.6915e+06,5.0086e+06,10490
5.09,0.49018,0.05154,2.6616e+06,5.0384e+06,10295
5.1,0.49072,0.056529,2.6396e+06,5.0604e+06,10082
5.11,0.49131,0.060604,2.6257e+06,5.0743e+06,9855.2
5.12,0.49193,0.063707,2.6201e+06,5.0799e+06,9617.5
5.13,0.49258,0.065794,2.6229e+06,5.0771e+06,9372.6
5.14,0.49324,0.066833,2.634e+06,5.0659e+06,9124.2
5.15,0.49391,0.066807,2.6533e+06,5.0466e+06,8875.6
5.16,0.49457,0.065714,2.6806e+06,5.0193e+06,8630.2
5.17,0.49522,0.063566,2.7155e+06,4.9844e+06,8391.4
5.18,0.49584,0.06039,2.7576e+06,4.9424e+06,8162.3
5.19,0.49643,0.056229,2.8062e+06,4.8938e+06,7946.3
5.2,0.49696,0.05114,2.8607e+06,4.8392e+06,7746.2
5.21,0.49745,0.045194,2.9204e+06,4.7796e+06,7565.2
5.22,0.49786,0.038479,2.9843e+06,4.7157e+06,7406
5.23,0.49821,0.031095,3.0515e+06,4.6485e+06,7271.2
5.24,0.49848,0.023156,3.1208e+06,4.5791e+06,7163.1
5.25,0.49867,0.014787,3.1913e+06,4.5086e+06,7083.7
5.26,0.49878,0.0061211,3.2618e+06,4.4382e+06,7034.4
5.27,0.4988,-0.0027016,3.3311e+06,4.3689e+06,7016.3
5.28,0.49872,-0.011537,3.398e+06,4.302e+06,7030
5.29,0.49857,-0.020239,3.4614e+06,4.2386e+06,7075.3
5.3,0.49832,-0.028665,3.5204e+06,4.1796e+06,7151.6
5.31,0.49799,-0.036676,3.5738e+06,4.1262e+06,7258
5.32,0.49759,-0.04414,3.6209e+06,4.0791e+06,7392.7
5.33,0.49711,-0.050938,3.6608e+06,4.0392e+06,7553.8
5.34,0.49657,-0.056958,3.6928e+06,4.0071e+06,7738.7
5.35,0.49598,-0.062106,3.7166e+06,3.9834e+06,7944.8
5.36,0.49533,-0.066301,3.7316e+06,3.9684e+06,8169
5.37,0.49465,-0.069477,3.7377e+06,3.9623e+06,8407.9
5.38,0.49395,-0.071587,3.7347e+06,3.9653e+06,8658.1
5.39,0.49323,-0.072599,3.7226e+06,3.9774e+06,8915.8
5.4,0.4925,-0.072499,3.7018e+06,3.9983e+06,9177.2
5.41,0.49178,-0.071291,3.6724e+06,4.0276e+06,9438.2
5.42,0.49108,-0.068996,3.635e+06,4.065e+06,9694.7
5.43,0.4904,-0.06565,3.5902e+06,4.1099e+06,9942.6
5.44,0.48977,-0.061308,3.5388e+06,4.1614e+06,10178
5.45,0.48918,-0.05604,3.4815e+06,4.2187e+06,10396
5.46,0.48865,-0.049931,3.4193e+06,4.2808e+06,10593
5.47,0.48818,-0.043079,3.3533e+06,4.3468e+06,10765
5.48,0.48779,-0.035595,3.2847e+06,4.4155e+06,10910
5.49,0.48747,-0.0276,3.2144e+06,4.4858e+06,11024
5.5,0.48724,-0.019224,3.1437e+06,4.5565e+06,11105
5.51,0.48709,-0.010601,3.0738e+06,4.6264e+06,11152
5.52,0.48703,-0.001871,3.0057e+06,4.6944e+06,11164
5.53,0.48705,0.0068279,2.9406e+06,4.7595e+06,11140
5.54,0.48716,0.015358,2.8794e+06,4.8207e+06,11082
5.55,0.48736,0.023585,2.8231e+06,4.877e+06,10992
5.56,0.48763,0.031383,2.7724e+06,4.9277e+06,10871
5.57,0.48798,0.038633,2.7281e+06,4.972e+06,10721
5.58,0.4884,0.045227,2.6908e+06,5.0093e+06,10547
5.59,0.48889,0.051066,2.661e+06,5.0391e+06,10351
5.6,0.48942,0.056066,2.639e+06,5.0611e+06,10137
5.61,0.49001,0.060154,2.6251e+06,5.0749e+06,9908.6
5.62,0.49062,0.063272,2.6195e+06,5.0805e+06,9669.2
5.63,0.49127,0.065374,2.6223e+06,5.0777e+06,9422.5
5.64,0.49193,0.066429,2.6334e+06,5.0665e+06,9172.2
5.65,0.49259,0.066419,2.6528e+06,5.0472e+06,8921.6
5.66,0.49325,0.065342,2.6801e+06,5.0199e+06,8674.4
5.67,0.4939,0.063211,2.715e+06,4.985e+06,8433.6
5.68,0.49451,0.060051,2.7571e+06,4.9429e+06,8202.8
5.69,0.49509,0.055905,2.8057e+06,4.8942e+06,7985
5.7,0.49563,0.050829,2.8603e+06,4.8397e+06,7783.3
5.71,0.49611,0.044896,2.9199e+06,4.78e+06,7600.7
5.72,0.49652,0.038193,2.9839e+06,4.7161e+06,7440.2
5.73,0.49687,0.030819,3.051e+06,4.6489e+06,7304.2
5.74,0.49714,0.02289,3.1204e+06,4.5795e+06,7195.1
5.75,0.49733,0.014528,3.1909e+06,4.509e+06,7114.8
5.76,0.49743,0.0058672,3.2614e+06,4.4386e+06,7064.8
5.77,0.49744,-0.0029515,3.3307e+06,4.3693e+06,7046.3
5.78,0.49737,-0.011784,3.3976e+06,4.3024e+06,7059.6
5.79,0.49721,-0.020486,3.461e+06,4.2389e+06,7104.9
5.8,0.49696,-0.028912,3.52e+06,4.18e+06,7181.4
5.81,0.49663,-0.036926,3.5734e+06,4.1266e+06,7288
5.82,0.49622,-0.044395,3.6205e+06,4.0795e+06,7423.3
5.83,0.49574,-0.051198,3.6603e+06,4.0396e+06,7585
5.84,0.4952,-0.057225,3.6924e+06,4.0075e+06,7770.8
5.85,0.4946,-0.062382,3.7162e+06,3.9838e+06,7978
5.86,0.49396,-0.066586,3.7312e+06,3.9688e+06,8203.3
5.87,0.49327,-0.069774,3.7372e+06,3.9628e+06,8443.6
5.88,0.49256,-0.071896,3.7342e+06,3.9658e+06,8695.2
5.89,0.49184,-0.072921,3.7221e+06,3.9779e+06,8954.5
5.9,0.49111,-0.072836,3.7013e+06,3.9988e+06,9217.5
5.91,0.49039,-0.071642,3.6719e+06,4.0282e+06,9480.3
5.92,0.48968,-0.069362,3.6345e+06,4.0656e+06,9738.6
5.93,0.489,-0.066031,3.5896e+06,4.1104e+06,9988.4
5.94,0.48836,-0.061704,3.5382e+06,4.162e+06,10225
5.95,0.48777,-0.056451,3.4808e+06,4.2193e+06,10445
5.96,0.48724,-0.050357,3.4187e+06,4.2815e+06,10644
5.97,0.48677,-0.043519,3.3527e+06,4.3475e+06,10818
5.98,0.48637,-0.036047,3.284e+06,4.4162e+06,10964
5.99,0.48605,-0.028064,3.2137e+06,4.4865e+06,11080
6,0.48581,-0.019698,3.143e+06,4.5572e+06,11162
6.01,0.48566,-0.011083,3.0731e+06,4.6271e+06,11210
6.02,0.48559,-0.0023584,3.005e+06,4.6952e+06,11222
6.03,0.48561,0.0063367,2.9399e+06,4.7603e+06,11199
6.04,0.48571,0.014865,2.8787e+06,4.8215e+06,11141
6.05,0.4859,0.023093,2.8224e+06,4.8778e+06,11051
6.06,0.48617,0.030894,2.7717e+06,4.9284e+06,10929
6.07,0.48652,0.038149,2.7274e+06,4.9727e+06,10779
6.08,0.48694,0.04475,2.6901e+06,5.01e+06,10604
6.09,0.48741,0.050598,2.6603e+06,5.0398e+06,10407
6.1,0.48794,0.055609,2.6383e+06,5.0617e+06,10191
6.11,0.48852,0.059709,2.6244e+06,5.0756e+06,9961.4
6.12,0.48914,0.06284,2.6189e+06,5.0811e+06,9720.5
6.13,0.48978,0.064956,2.6217e+06,5.0783e+06,9472.1
6.14,0.49043,0.066025,2.6329e+06,5.0671e+06,9220.1
6.15,0.49109,0.06603,2.6522e+06,5.0477e+06,8967.9
6.16,0.49175,0.064968,2.6795e+06,5.0204e+06,8718.9
6.17,0.49239,0.062851,2.7145e+06,4.9855e+06,8476.5
6.18,0.493,0.059705,2.7565e+06,4.9434e+06,8244
6.19,0.49358,0.055572,2.8052e+06,4.8947e+06,8024.6
6.2,0.49411,0.050509,2.8598e+06,4.8401e+06,7821.4
6.21,0.49459,0.044588,2.9195e+06,4.7804e+06,7637.5
6.22,0.495,0.037895,2.9834e+06,4.7165e+06,7475.7
6.23,0.49534,0.030531,3.0506e+06,4.6493e+06,7338.7
6.24,0.49561,0.022609,3.12e+06,4.5799e+06,7228.6
6.25,0.49579,0.014254,3.1905e+06,4.5094e+06,7147.5
6.26,0.49589,0.0055987,3.261e+06,4.439e+06,7097
6.27,0.4959,-0.0032164,3.3302e+06,4.3697e+06,7078.1
6.28,0.49583,-0.012047,3.3972e+06,4.3028e+06,7091.2
6.29,0.49566,-0.020748,3.4606e+06,4.2393e+06,7136.4
6.3,0.49541,-0.029177,3.5196e+06,4.1804e+06,7213.1
6.31,0.49508,-0.037193,3.573e+06,4.127e+06,7320.1
6.32,0.49467,-0.044667,3.62e+06,4.0799e+06,7456
6.33,0.49419,-0.051477,3.6599e+06,4.04e+06,7618.5
6.34,0.49364,-0.057513,3.692e+06,4.008e+06,7805.4
6.35,0.49304,-0.06268,3.7157e+06,3.9843e+06,8013.7
6.36,0.49239,-0.066896,3.7307e+06,3.9693e+06,8240.5
6.37,0.49171,-0.070097,3.7367e+06,3.9633e+06,8482.4
6.38,0.491,-0.072234,3.7337e+06,3.9663e+06,8735.8
6.39,0.49027,-0.073276,3.7216e+06,3.9784e+06,8997.1
6.4,0.48953,-0.073208,3.7007e+06,3.9994e+06,9262.3
6.41,0.48881,-0.072034,3.6713e+06,4.0288e+06,9527.4
6.42,0.4881,-0.069773,3.6338e+06,4.0663e+06,9788.1
6.43,0.48741,-0.066464,3.589e+06,4.1111e+06,10040
6.44,0.48677,-0.062158,3.5375e+06,4.1627e+06,10280
6.45,0.48617,-0.056927,3.4801e+06,4.22e+06,10502
6.46,0.48564,-0.050853,3.4179e+06,4.2823e+06,10704
6.47,0.48516,-0.044035,3.3519e+06,4.3483e+06,10880
6.48,0.48476,-0.036584,3.2832e+06,4.417e+06,11029
6.49,0.48443,-0.028619,3.2129e+06,4.4874e+06,11146
6.5,0.48419,-0.020268,3.1422e+06,4.5581e+06,11230
6.51,0.48403,-0.011668,3.0722e+06,4.628e+06,11280
6.52,0.48395,-0.0029555,3.0041e+06,4.6961e+06,11293
6.53,0.48397,0.0057304,2.939e+06,4.7612e+06,11271
6.54,0.48407,0.014252,2.8778e+06,4.8224e+06,11214
6.55,0.48425,0.022477,2.8215e+06,4.8787e+06,11124
6.56,0.48451,0.030278,2.7708e+06,4.9293e+06,11002
6.57,0.48485,0.037536,2.7266e+06,4.9736e+06,10852
6.58,0.48526,0.044142,2.6893e+06,5.0108e+06,10676
6.59,0.48573,0.049999,2.6594e+06,5.0406e+06,10478
6.6,0.48626,0.05502,2.6375e+06,5.0626e+06,10261
6.61,0.48683,0.059133,2.6236e+06,5.0764e+06,10030
6.62,0.48744,0.062279,2.6181e+06,5.0819e+06,9787.1
6.63,0.48807,0.064411,2.6209e+06,5.0791e+06,9536.9
6.64,0.48872,0.065497,2.6321e+06,5.0679e+06,9282.8
6.65,0.48938,0.06552,2.6515e+06,5.0485e+06,9028.4
6.66,0.49003,0.064477,2.6788e+06,5.0211e+06,8777.3
6.67,0.49067,0.062378,2.7138e+06,4.9862e+06,8532.7
6.68,0.49128,0.05925,2.7559e+06,4.944e+06,8298.1
6.69,0.49185,0.055135,2.8046e+06,4.8953e+06,8076.6
6.7,0.49238,0.050089,2.8592e+06,4.8408e+06,7871.5
6.71,0.49285,0.044184,2.9189e+06,4.781e+06,7685.8
6.72,0.49326,0.037505,2.9828e+06,4.7171e+06,7522.3
6.73,0.4936,0.030155,3.05e+06,4.6499e+06,7383.7
6.74,0.49386,0.022244,3.1194e+06,4.5805e+06,7272.3
6.75,0.49404,0.013898,3.19e+06,4.51e+06,7190.2
6.76,0.49413,0.0052501,3.2604e+06,4.4395e+06,7138.8
6.77,0.49414,-0.0035598,3.3297e+06,4.3702e+06,7119.2
6.78,0.49406,-0.012388,3.3966e+06,4.3033e+06,7132
6.79,0.4939,-0.021088,3.4601e+06,4.2398e+06,7177.2
6.8,0.49364,-0.029518,3.519e+06,4.1809e+06,7254.1
6.81,0.49331,-0.037539,3.5724e+06,4.1275e+06,7361.7
6.82,0.49289,-0.04502,3.6195e+06,4.0805e+06,7498.3
6.83,0.49241,-0.051839,3.6593e+06,4.0406e+06,7662
6.84,0.49186,-0.057886,3.6914e+06,4.0086e+06,7850.2
6.85,0.49125,-0.063067,3.7151e+06,3.9849e+06,8060.2
6.86,0.4906,-0.067299,3.7301e+06,3.9699e+06,8288.9
6.87,0.48991,-0.070518,3.7361e+06,3.9639e+06,8533
6.88,0.48919,-0.072675,3.733e+06,3.967e+06,8788.8
6.89,0.48846,-0.073739,3.7209e+06,3.9792e+06,9052.7
6.9,0.48772,-0.073694,3.6999e+06,4.0001e+06,9320.7
6.91,0.48699,-0.072545,3.6705e+06,4.0296e+06,9588.7
6.92,0.48628,-0.070309,3.633e+06,4.0671e+06,9852.4
6.93,0.48559,-0.067025,3.5881e+06,4.112e+06,10108
6.94,0.48494,-0.062746,3.5366e+06,4.1636e+06,10350
6.95,0.48434,-0.05754,3.4792e+06,4.221e+06,10576
6.96,0.48379,-0.051492,3.417e+06,4.2833e+06,10780
6.97,0.48331,-0.044698,3.3509e+06,4.3493e+06,10960
6.98,0.4829,-0.037269,3.2821e+06,4.4181e+06,11111
6.99,0.48257,-0.029323,3.2118e+06,4.4884e+06,11230
7,0.48231,-0.020991,3.1411e+06,4.5592e+06,11317
7.01,0.48215,-0.012405,3.0711e+06,4.6291e+06,11368
7.02,0.48207,-0.0037037,3.003e+06,4.6972e+06,11383
7.03,0.48207,0.0049746,2.9379e+06,4.7623e+06,11361
7.04,0.48216,0.013493,2.8767e+06,4.8235e+06,11305
7.05,0.48234,0.021718,2.8204e+06,4.8798e+06,11215
7.06,0.4826,0.029522,2.7697e+06,4.9304e+06,11092
7.07,0.48293,0.036788,2.7255e+06,4.9747e+06,10941
7.08,0.48333,0.043405,2.6882e+06,5.0119e+06,10764
7.09,0.4838,0.049276,2.6584e+06,5.0417e+06,10564
7.1,0.48431,0.054315,2.6364e+06,5.0636e+06,10345
7.11,0.48488,0.058448,2.6226e+06,5.0774e+06,10111
7.12,0.48548,0.061615,2.6171e+06,5.0829e+06,9865.9
7.13,0.48611,0.06377,2.62e+06,5.08e+06,9613
7.14,0.48675,0.06488,2.6312e+06,5.0688e+06,9356
7.15,0.4874,0.064928,2.6506e+06,5.0493e+06,9098.8
7.16,0.48805,0.063909,2.678e+06,5.0219e+06,8844.7
7.17,0.48868,0.061835,2.713e+06,4.9869e+06,8597.3
7.18,0.48928,0.058731,2.7551e+06,4.9448e+06,8359.9
7.19,0.48985,0.054639,2.8038e+06,4.8961e+06,8135.8
7.2,0.49037,0.049614,2.8584e+06,4.8414e+06,7928.2
7.21,0.49084,0.043728,2.9182e+06,4.7817e+06,7740.1
7.22,0.49124,0.037068,2.9821e+06,4.7177e+06,7574.5
7.23,0.49158,0.029733,3.0494e+06,4.6505e+06,7434.1
7.24,0.49183,0.021836,3.1188e+06,4.5811e+06,7321.1
7.25,0.49201,0.013501,3.1893e+06,4.5105e+06,7237.7
7.26,0.4921,0.0048621,3.2598e+06,4.4401e+06,7185.3
7.27,0.49211,-0.0039416,3.3291e+06,4.3708e+06,7165
7.28,0.49202,-0.012766,3.396e+06,4.3038e+06,7177.4
7.29,0.49185,-0.021465,3.4595e+06,4.2404e+06,7222.4
7.3,0.4916,-0.029897,3.5184e+06,4.1815e+06,7299.5
7.31,0.49126,-0.037922,3.5718e+06,4.1281e+06,7407.6
7.32,0.49084,-0.045409,3.6189e+06,4.081e+06,7545.1
7.33,0.49035,-0.052237,3.6587e+06,4.0412e+06,7709.8
7.34,0.4898,-0.058296,3.6908e+06,4.0092e+06,7899.5
7.35,0.48919,-0.063491,3.7144e+06,3.9855e+06,8111.1
7.36,0.48853,-0.067739,3.7294e+06,3.9706e+06,8341.8
7.37,0.48784,-0.070976,3.7354e+06,3.9646e+06,8588
7.38,0.48711,-0.073154,3.7322e+06,3.9678e+06,8846.3
7.39,0.48638,-0.074239,3.7201e+06,3.9799e+06,9112.8
7.4,0.48563,-0.074218,3.6991e+06,4.0009e+06,9383.5
7.41,0.4849,-0.073092,3.6696e+06,4.0305e+06,9654.5
7.42,0.48418,-0.070883,3.6321e+06,4.068e+06,9921.3
7.43,0.48348,-0.067625,3.5872e+06,4.1129e+06,10180
7.44,0.48283,-0.063372,3.5356e+06,4.1646e+06,10425
7.45,0.48222,-0.058193,3.4782e+06,4.222e+06,10654
7.46,0.48167,-0.05217,3.4159e+06,4.2843e+06,10862
7.47,0.48118,-0.045401,3.3498e+06,4.3504e+06,11044
7.48,0.48076,-0.037995,3.281e+06,4.4192e+06,11198
7.49,0.48042,-0.030072,3.2107e+06,4.4896e+06,11320
7.5,0.48016,-0.021758,3.1399e+06,4.5603e+06,11408
7.51,0.47998,-0.013188,3.0699e+06,4.6303e+06,11461
7.52,0.4799,-0.0044992,3.0018e+06,4.6984e+06,11478
7.53,0.47989,0.0041701,2.9367e+06,4.7636e+06,11457
7.54,0.47998,0.012683,2.8755e+06,4.8247e+06,11402
7.55,0.48015,0.020907,2.8192e+06,4.881e+06,11311
7.56,0.4804,0.028714,2.7686e+06,4.9316e+06,11189
7.57,0.48072,0.035986,2.7243e+06,4.9759e+06,11036
7.58,0.48111,0.042613,2.687e+06,5.0131e+06,10858
7.59,0.48157,0.048498,2.6573e+06,5.0428e+06,10656
7.6,0.48208,0.053553,2.6353e+06,5.0647e+06,10436
7.61,0.48264,0.057704,2.6216e+06,5.0785e+06,10200
7.62,0.48323,0.060892,2.6161e+06,5.0839e+06,9951.7
7.63,0.48385,0.06307,2.619e+06,5.081e+06,9696.1
7.64,0.48449,0.064204,2.6302e+06,5.0697e+06,9436.3
7.65,0.48513,0.064276,2.6497e+06,5.0503e+06,9176.2
7.66,0.48577,0.063282,2.6771e+06,5.0228e+06,8919.2
7.67,0.48639,0.061233,2.7121e+06,4.9878e+06,8668.9
7.68,0.48699,0.058153,2.7542e+06,4.9456e+06,8428.7
7.69,0.48755,0.054083,2.803e+06,4.8969e+06,8201.9
7.7,0.48807,0.04908,2.8576e+06,4.8422e+06,7991.8
7.71,0.48853,0.043215,2.9174e+06,4.7825e+06,7801.4
7.72,0.48893,0.036573,2.9814e+06,4.7185e+06,7633.6
7.73,0.48926,0.029255,3.0486e+06,4.6512e+06,7491.3
7.74,0.48952,0.021372,3.1181e+06,4.5818e+06,7376.6
7.75,0.48969,0.013049,3.1886e+06,4.5112e+06,7291.8
7.76,0.48978,0.0044195,3.2591e+06,4.4407e+06,7238.3
7.77,0.48978,-0.0043776,3.3284e+06,4.3714e+06,7217.3
7.78,0.48969,-0.013198,3.3954e+06,4.3045e+06,7229.3
7.79,0.48951,-0.021897,3.4588e+06,4.2411e+06,7274.2
7.8,0.48925,-0.030331,3.5177e+06,4.1821e+06,7351.6
7.81,0.48891,-0.038361,3.5712e+06,4.1287e+06,7460.3
7.82,0.48849,-0.045856,3.6182e+06,4.0817e+06,7598.8
7.83,0.48799,-0.052696,3.658e+06,4.0419e+06,7764.9
7.84,0.48743,-0.058769,3.69e+06,4.0099e+06,7956.3
7.85,0.48682,-0.063981,3.7137e+06,3.9863e+06,8170.1
7.86,0.48616,-0.06825,3.7286e+06,3.9714e+06,8403.2
7.87,0.48546,-0.071511,3.7345e+06,3.9655e+06,8652.2
7.88,0.48473,-0.073714,3.7314e+06,3.9686e+06,8913.6
7.89,0.48399,-0.074828,3.7192e+06,3.9809e+06,9183.5
7.9,0.48324,-0.074837,3.6982e+06,4.0019e+06,9458
7.91,0.48249,-0.073745,3.6686e+06,4.0315e+06,9732.8
7.92,0.48177,-0.07157,3.6311e+06,4.0691e+06,10004
7.93,0.48107,-0.068348,3.5861e+06,4.1141e+06,10266
7.94,0.4804,-0.064131,3.5345e+06,4.1658e+06,10517
7.95,0.47979,-0.058988,3.477e+06,4.2233e+06,10750
7.96,0.47923,-0.053002,3.4147e+06,4.2856e+06,10961
7.97,0.47873,-0.046268,3.3485e+06,4.3518e+06,11148
7.98,0.4783,-0.038895,3.2797e+06,4.4206e+06,11306
7.99,0.47795,-0.031002,3.2093e+06,4.491e+06,11431
8,0.47768,-0.022716,3.1385e+06,4.5618e+06,11523
8.01,0.4775,-0.014183,3.0692e+06,4.6311e+06,11570
8.02,0.4774,-0.005594,3.0034e+06,4.6969e+06,11567
8.03,0.47739,0.0028718,2.9419e+06,4.7584e+06,11520
8.04,0.47746,0.011059,2.8854e+06,4.8148e+06,11435
8.05,0.47761,0.018829,2.8349e+06,4.8654e+06,11315
8.06,0.47783,0.026063,2.7907e+06,4.9094e+06,11165
8.07,0.47813,0.032654,2.7535e+06,4.9466e+06,10990
8.08,0.47848,0.038512,2.7236e+06,4.9765e+06,10793
8.09,0.47889,0.043561,2.7012e+06,4.9989e+06,10578
8.1,0.47935,0.047742,2.6865e+06,5.0135e+06,10351
8.11,0.47985,0.051009,2.6795e+06,5.0205e+06,10116
8.12,0.48037,0.053331,2.6801e+06,5.0198e+06,9875.2
8.13,0.48091,0.054693,2.6882e+06,5.0118e+06,9634
8.14,0.48146,0.055093,2.7034e+06,4.9965e+06,9395.8
8.15,0.48201,0.054544,2.7255e+06,4.9744e+06,9164
8.16,0.48255,0.053072,2.7538e+06,4.946e+06,8942
8.17,0.48307,0.050718,2.7881e+06,4.9118e+06,8732.7
8.18,0.48356,0.047534,2.8274e+06,4.8724e+06,8539
8.19,0.48401,0.043586,2.8713e+06,4.8286e+06,8363.6
8.2,0.48443,0.03895,2.9189e+06,4.781e+06,8208.6
8.21,0.48479,0.033713,2.9694e+06,4.7305e+06,8076.1
8.22,0.4851,0.02797,3.0219e+06,4.678e+06,7967.7
8.23,0.48535,0.021826,3.0755e+06,4.6243e+06,7884.7
8.24,0.48554,0.015387,3.1294e+06,4.5704e+06,7828
8.25,0.48566,0.0087679,3.1826e+06,4.5172e+06,7798
8.26,0.48571,0.0020807,3.2343e+06,4.4655e+06,7794.7
8.27,0.4857,-0.0045616,3.2837e+06,4.4162e+06,7817.6
8.28,0.48562,-0.011049,3.3299e+06,4.37e+06,7865.8
8.29,0.48548,-0.017278,3.3722e+06,4.3276e+06,7938
8.3,0.48528,-0.02315,3.4101e+06,4.2898e+06,8032.5
8.31,0.48502,-0.028576,3.4431e+06,4.2568e+06,8147.3
8.32,0.48471,-0.03348,3.4706e+06,4.2294e+06,8280.1
8.33,0.48435,-0.037793,3.4924e+06,4.2076e+06,8428.3
8.34,0.48395,-0.041461,3.5082e+06,4.1918e+06,8589.2
8.35,0.48352,-0.044442,3.518e+06,4.182e+06,8759.9
8.36,0.48307,-0.046708,3.5218e+06,4.1782e+06,8937.5
8.37,0.48259,-0.048243,3.5197e+06,4.1804e+06,9118.8
8.38,0.4821,-0.049044,3.5118e+06,4.1882e+06,9300.9
8.39,0.48161,-0.049122,3.4986e+06,4.2015e+06,9480.8
8.4,0.48112,-0.048497,3.4804e+06,4.2197e+06,9655.5
8.41,0.48064,-0.047204,3.4576e+06,4.2425e+06,9822.3
8.42,0.48018,-0.045286,3.4308e+06,4.2693e+06,9978.6
8.43,0.47974,-0.042795,3.4007e+06,4.2995e+06,10122
8.44,0.47933,-0.039793,3.3677e+06,4.3324e+06,10250
8.45,0.47895,-0.036345,3.3326e+06,4.3675e+06,10361
8.46,0.4786,-0.032526,3.2961e+06,4.404e+06,10454
8.47,0.4783,-0.028412,3.2588e+06,4.4413e+06,10527
8.48,0.47803,-0.024083,3.2215e+06,4.4787e+06,10580
8.49,0.47782,-0.019619,3.1846e+06,4.5155e+06,10612
8.5,0.47764,-0.015099,3.149e+06,4.5512e+06,10624
8.51,0.47751,-0.010603,3.115e+06,4.5851e+06,10616
8.52,0.47743,-0.0062032,3.0833e+06,4.6168e+06,10588
8.53,0.47739,-0.0019714,3.0542e+06,4.6459e+06,10543
8.54,0.47739,0.002028,3.0282e+06,4.6719e+06,10482
8.55,0.47743,0.0057368,3.0055e+06,4.6946e+06,10405
8.56,0.4775,0.0091041,2.9864e+06,4.7137e+06,10317
8.57,0.47761,0.012087,2.9711e+06,4.729e+06,10218
8.58,0.47774,0.01465,2.9596e+06,4.7404e+06,10111
8.59,0.4779,0.016768,2.952e+06,4.7481e+06,9997.8
8.6,0.47808,0.018424,2.9482e+06,4.7518e+06,9881.5
8.61,0.47827,0.019608,2.9481e+06,4.7519e+06,9764
8.62,0.47847,0.020321,2.9516e+06,4.7484e+06,9647.5
8.63,0.47867,0.020572,2.9583e+06,4.7416e+06,9534.1
8.64,0.47888,0.020376,2.9682e+06,4.7318e+06,9425.8
8.65,0.47908,0.019758,2.9807e+06,4.7192e+06,9324.3
