t,s
5.205,0.5718419
5.22,0.57228118
5.235,0.57272664
5.25,0.57317566
5.265,0.57362264
5.28,0.57406487
5.295,0.57450563
5.31,0.57495122
5.325,0.57540435
5.34,0.57586095
5.355,0.57631397
5.37,0.57676079
5.385,0.57720645
5.4,0.57765887
5.415,0.57812052
5.43,0.57858519
5.445,0.57904401
5.46,0.57949483
5.475,0.57994525
5.49,0.58040525
5.505,0.58087649
5.52,0.58134968
5.535,0.58181368
5.55,0.58226752
5.565,0.58272255
5.58,0.58319122
5.595,0.58367346
5.61,0.58415546
5.625,0.58462341
5.64,0.58507876
5.655,0.58553835
5.67,0.5860174
5.685,0.58651248
5.7,0.5870032
5.715,0.5874729
5.73,0.58792763
5.745,0.58839208
5.76,0.58888424
5.775,0.58939451
5.79,0.58989312
5.805,0.59036092
5.82,0.59081218
5.835,0.5912827
5.85,0.59179233
5.865,0.59232068
5.88,0.5928249
5.895,0.59328501
5.91,0.59372935
5.925,0.59420896
5.94,0.59474292
5.955,0.59529257
5.97,0.59579751
5.985,0.59624103
6,0.59667491
6.015,0.59717011
6.03,0.59773883
6.045,0.59749131
6.06,0.59634321
6.075,0.59522617
6.09,0.59516514
6.105,0.59612529
6.12,0.59690384
6.135,0.59633288
6.15,0.59462046
6.165,0.59330669
6.18,0.59368828
6.195,0.59531345
6.21,0.59625048
6.225,0.59507553
6.24,0.5925782
6.255,0.59116429
6.27,0.59232993
6.285,0.59484994
6.3,0.59578521
6.315,0.59358501
6.33,0.59006746
6.345,0.58878805
6.36,0.59122654
6.375,0.59486256
6.39,0.59546108
6.405,0.59165537
6.42,0.5869224
6.435,0.58621465
6.45,0.59056195
6.465,0.59545683
6.48,0.59514314
6.495,0.58901184
6.51,0.58299413
6.525,0.58354227
6.54,0.59052973
6.555,0.59665162
6.57,0.59458004
6.585,0.58535042
6.6,0.5782044
6.615,0.58091257
6.63,0.59123406
6.645,0.59828206
6.66,0.59341146
6.675,0.58044503
6.69,0.57261443
6.705,0.57842771
6.72,0.59250333
6.735,0.59988866
6.75,0.59126326
6.765,0.57435006
6.78,0.56649054
6.795,0.57598814
6.81,0.59365329
